Source,Target,Weight,Type
bush_02022005,bush_02032001,2,undirected
bush_02022005,bush_03022003,4,undirected
bush_02022005,bush_20012004,2,undirected
bush_02022005,bush_28012003,3,undirected
bush_02032001,bush_02022005,2,undirected
bush_02032001,obama_12022013,3,undirected
bush_02032001,obama_25012011,1,undirected
bush_03022003,bush_02022005,4,undirected
bush_03022003,bush_20012004,2,undirected
bush_03022003,bush_23012007,1,undirected
bush_03022003,bush_24092001,2,undirected
bush_03022003,bush_28012003,6,undirected
bush_03022003,bush_31012008,5,undirected
bush_20012004,bush_02022005,2,undirected
bush_20012004,bush_03022003,2,undirected
bush_20012004,bush_23012007,5,undirected
bush_20012004,bush_24092001,1,undirected
bush_20012004,bush_28012008,1,undirected
bush_23012007,bush_03022003,1,undirected
bush_23012007,bush_20012004,5,undirected
bush_23012007,bush_28012008,6,undirected
bush_24092001,bush_03022003,2,undirected
bush_24092001,bush_20012004,1,undirected
bush_24092001,bush_28012003,3,undirected
bush_28012003,bush_02022005,3,undirected
bush_28012003,bush_03022003,6,undirected
bush_28012003,bush_24092001,3,undirected
bush_28012003,bush_31012008,4,undirected
bush_28012008,bush_20012004,1,undirected
bush_28012008,bush_23012007,6,undirected
bush_28012008,bush_31012008,3,undirected
bush_31012008,bush_03022003,5,undirected
bush_31012008,bush_28012003,4,undirected
bush_31012008,bush_28012008,3,undirected
obama_08092011,obama_24022009,1,undirected
obama_08092011,obama_25012011,2,undirected
obama_08092011,obama_27012010,3,undirected
obama_09092009,obama_24022009,2,undirected
obama_09092009,obama_25012011,1,undirected
obama_09092009,obama_27012010,3,undirected
obama_12012016,obama_20012015,2,undirected
obama_12012016,obama_25012011,3,undirected
obama_12012016,obama_27012010,2,undirected
obama_12022013,bush_02032001,3,undirected
obama_12022013,obama_24012012,3,undirected
obama_12022013,obama_24022009,1,undirected
obama_12022013,obama_25012011,6,undirected
obama_12022013,obama_27012010,4,undirected
obama_12022013,obama_28012014,5,undirected
obama_20012015,obama_12012016,2,undirected
obama_20012015,obama_25012011,2,undirected
obama_20012015,obama_28012014,5,undirected
obama_24012012,obama_12022013,3,undirected
obama_24012012,obama_27012010,1,undirected
obama_24012012,obama_28012014,2,undirected
obama_24022009,obama_08092011,1,undirected
obama_24022009,obama_09092009,2,undirected
obama_24022009,obama_12022013,1,undirected
obama_24022009,obama_25012011,2,undirected
obama_24022009,obama_27012010,4,undirected
obama_25012011,bush_02032001,1,undirected
obama_25012011,obama_08092011,2,undirected
obama_25012011,obama_09092009,1,undirected
obama_25012011,obama_12012016,3,undirected
obama_25012011,obama_12022013,6,undirected
obama_25012011,obama_20012015,2,undirected
obama_25012011,obama_24022009,2,undirected
obama_25012011,obama_27012010,3,undirected
obama_25012011,obama_28012014,3,undirected
obama_27012010,obama_08092011,3,undirected
obama_27012010,obama_09092009,3,undirected
obama_27012010,obama_12012016,2,undirected
obama_27012010,obama_12022013,4,undirected
obama_27012010,obama_24012012,1,undirected
obama_27012010,obama_24022009,4,undirected
obama_27012010,obama_25012011,3,undirected
obama_28012014,obama_12022013,5,undirected
obama_28012014,obama_20012015,5,undirected
obama_28012014,obama_24012012,2,undirected
obama_28012014,obama_25012011,3,undirected
